reviewerName,reviewerID,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH,STATE,PHONE,ISBUSINESS,BUSINESS_CATEGORIES,MARITAL_STATUS,ISFEMALE,AGE,EMAIL
Comer,A2MPODWDSZB12P,-74.4448101,39.3574265,2615,Arctic Avenue,,ATLANTIC CITY,,,08401,{ACCAF076-97D8-4F0F-B642-E66D024A26C5},d8a3b0854facf86e,NEW JERSEY,5184865908,False,,True,True,36.0,Comer@hotmail.com
anne rice,A2YHSOC4FIZYS0,-74.2148173,40.6479671,667,Maple Avenue,,ELIZABETH,,,07202,{50BBB4A5-770A-49D4-B35E-5F5EEC7328B0},9ea46937f7862682,NEW JERSEY,6759432856,False,,False,False,48.0,annerice@hotmail.com
Owner,AZYQUJGXX6FV7,-74.6510742,40.4820207,20,Hillsborough Road,,HILLSBOROUGH,,,08844,{B2F743B4-75FF-4345-85A0-30CE74EE6848},93b4cde2d6826e4d,NEW JERSEY,2557026640,False,,True,True,28.0,Owner@outlook.com
Christopher Gates,A1YPRJITXATIUY,-74.3973238,40.5007378,2109,Woodbridge Avenue,,EDISON,,,08817,{0B280B4A-EDC3-4EDD-A90B-B540DE6488B5},7cf8a0745a825a8c,NEW JERSEY,2786694848,False,,True,False,50.0,ChristopherGates@rediffmail.com
Elizabeth Bentson,A2HSQ44YJXSVAX,-74.0529203,40.9384554,260,Concord Drive,,PARAMUS,,,07652,{99727AA8-43E4-466D-AF93-5283D5EEB5B4},5cf91db7bb7be0da,NEW JERSEY,6609915908,False,,False,False,27.0,ElizabethBentson@hotmail.com
Matthew Cohn,ANMQ4R3RTLYU9,-74.0216202,40.800767,6920,Tonnelle Avenue,,NORTH BERGEN,,,07047,{BE359EDC-9816-41F0-8C58-4230C58BF2EE},a8d7d5d4427436d7,NEW JERSEY,7112152908,False,,False,False,51.0,MatthewCohn@gmail.com
Ski,A2YZJSH5Y9BPZP,-74.4595737,40.7353561,16,Woodland Road,,NEW VERNON,,,07976,{099D765E-BC99-48ED-9660-7FE1274190F1},8a3503e7b79a1511,NEW JERSEY,4855810732,False,,False,True,35.0,Ski@rediffmail.com
BOOK MAVEN,A33SHCB8B08SK5,-74.4922327,40.4392028,115,Jared Drive,,NORTH BRUNSWICK,,,08902,{5290D925-18EB-447B-A49E-8294B1BD42D3},c9290c8ae17ba8bb,NEW JERSEY,2084631973,False,,True,True,51.0,BOOKMAVEN@hotmail.com
sharon,A34S1A7NPQVQFY,-75.0369259,39.9452211,314,Lincoln Avenue,,CHERRY HILL,,,08002,{BD70E274-A642-493D-BB1C-EAE181480EEC},9a161894e5a07c39,NEW JERSEY,6555128201,False,,False,True,28.0,sharon@gmail.com
Michael Goodman,A2Q6H92WBKH0QB,-74.199068,40.8288323,6,Christopher Court,,MONTCLAIR,,,07042,{A4C3FE03-9882-47BA-853C-28A05ECAF525},2a772ef23959cf06,NEW JERSEY,3849503640,False,,False,False,57.0,MichaelGoodman@rediffmail.com
Quakertown Dad,A3CQ3JEHWMQVGL,-74.6446949,40.6192735,4,Lincoln Street,,BRIDGEWATER,,,08807,{33C2FF30-2CB4-4CDD-932C-53A447F04B5B},aaafdec9bad58032,NEW JERSEY,6027477848,False,,True,True,38.0,QuakertownDad@gmail.com
Raymond Dondzila,A3MGOREAP6W414,-74.8847757,39.848911,500,Monticello Court,,MARLTON,,,08053,{8FB45B79-1779-4D67-ACF4-656CC95F45BF},ca961b4c1f55bf4a,NEW JERSEY,9084517551,False,,False,True,37.0,RaymondDondzila@outlook.com
Jesus Garcia,A149LEGA1Q2XS3,-74.1124596,41.0610889,2,Carlough Road,,UPPER SADDLE RIVER,,,07458,{AE7B41F0-3C89-49BB-AA4C-7EF1D2EA09CD},4d85a9ec8735d2e8,NEW JERSEY,7610114732,False,,True,False,50.0,JesusGarcia@rediffmail.com
Swinney,ANPCB3J5103VL,-74.8980641,39.6968762,128,Grove Street,,SICKLERVILLE,,,08081,{7C71F664-9983-4EB6-B71C-EA974B3B4959},57313f75ee7cce67,NEW JERSEY,6419830201,False,,False,False,60.0,Swinney@hotmail.com
John Baker,A3FXO8UKB5RH4,-74.8850519,39.8481302,101,Williamsburg Court,,MARLTON,,,08053,{DFA508EF-3DE4-485E-9B84-E1FF87E605EC},2ff24c167f44451a,NEW JERSEY,9138410201,False,,False,False,27.0,JohnBaker@outlook.com
Safdar Ali,AS5ARXE7XNZ3I,-74.0550196,40.7198955,60,Center Street,,JERSEY CITY,,,07302,{25BD48E6-6CD1-43BF-9883-DC7838AB42B0},a65d0c257c5e3d41,NEW JERSEY,1907043848,False,,False,False,33.0,SafdarAli@rediffmail.com
Don Moore,A1J9LC5FQN9G81,-74.4759165,40.8966331,46,Snyder Avenue,,DENVILLE,,,07834,{AD7E823A-C300-454A-90D6-114C04A61E9A},83b255a160dbc53d,NEW JERSEY,0045894973,False,,False,True,49.0,DonMoore@outlook.com
Vetteluvr James,A3DB3R6Q0A7HTO,-74.7053811,40.1488182,100,Elizabeth Street,,BORDENTOWN,,,08505,{0F0CDA7F-08FE-4A4F-BDF1-0C5627807890},a0a48a9d9a6d2f79,NEW JERSEY,1786657973,False,,True,False,44.0,VetteluvrJames@rediffmail.com
jeff kenkel,A2JKC2NSES8TLT,-74.1143452,40.9036586,197,Van Riper Avenue,,ELMWOOD PARK,,,07407,{84B89B97-A253-41E4-BAC9-4F433FF2D2CE},c91aa6eec3ea4fe6,NEW JERSEY,9797837856,False,,False,False,41.0,jeffkenkel@hotmail.com
Kris Kidwell,A3C6J0JX4T6ZFG,-74.4633774,40.2856764,4,Preservation Drive,,MONROE TOWNSHIP,,,08831,{2014C324-6D1B-4668-9027-C7CEACE85CC3},ccff5bd949f560a2,NEW JERSEY,5630388856,False,,False,True,39.0,KrisKidwell@rediffmail.com
Carl Mckoy,A1AS5K8476WTVQ,-74.0625255,40.8740718,280,Clark Street,,HACKENSACK,,,07601,{9298CFD0-CB90-408A-9523-5405CA53BD2D},f9acccbe79d8ac06,NEW JERSEY,2505800908,False,,True,False,53.0,CarlMckoy@rediffmail.com
Rob Reinhardt,AQG17YFAR1ANR,-74.1294777,40.9543714,6,Romary Court,,GLEN ROCK,,,07452,{9814487F-DFDF-4B00-8DFC-44850F7FDC8F},235c1870bdbb9235,NEW JERSEY,9220074908,False,,True,True,49.0,RobReinhardt@rediffmail.com
Shoemaker,A62WY2LMHR0SC,-74.1270436,40.777622,49,Porete Avenue,,NORTH ARLINGTON,,,07031,{C305A50E-B74A-4D43-891D-6244086D97C0},93ecdd5e401a49ab,NEW JERSEY,9800483862,False,,True,True,46.0,Shoemaker@hotmail.com
Matthew Morgan,A3RSCU4SASZWNJ,-80.5747707,40.6567374,16813,ST CLAIR AVE,C,,COL,OH,43920,,d395edbbcd4eaee2,OHIO,6071914234,False,,False,True,23.0,MatthewMorgan@hotmail.com
Michael Logusz,A1YIFPM15ZHNIV,-81.6465159,41.4614108,6209,KENYON AVE,,CLEVELAND,,OH,44105,,3e0d638ee10563c8,OHIO,0602106440,False,,False,False,47.0,MichaelLogusz@outlook.com
Donald Wolcott,A1MCVXVBR6WTN5,-84.5406985,39.1588218,1624,HOFFNER ST,,CINCINNATI,,OH,45223,,a85d178eed599139,OHIO,9922169326,False,,False,False,16.0,DonaldWolcott@outlook.com
Brue,A2RD1Q986T77AG,-83.6107167,41.5969733,3812,RUGBY DR,,TOLEDO,LUC,OH,43614,,7760d525f720ccc1,OHIO,0054592419,False,,True,False,30.0,Brue@outlook.com
Roy Smith,A1A1LXTVI5NUX8,-81.6095756,41.5200479,1380,E 110 ST,,CLEVELAND,,OH,44106,,93924e702434250f,OHIO,6335306436,True,Telecommunications Infrastructure Providers,,,,RoySmith@hotmail.com
scott covey,A11RGI7MM6DIJJ,-81.5627117,40.9212826,6788,MANCHESTER RD,,,,,,,0f7de0dd2da8e016,OHIO,3211183513,False,,False,True,54.0,scottcovey@outlook.com
Mark Recek,A1Q4BTIKP58W38,-81.8152339,41.4897456,1245,BONNIEVIEW AVE,,LAKEWOOD,,OH,44107,,224eaf27a3a946cd,OHIO,7056915440,False,,False,False,42.0,MarkRecek@hotmail.com
Jerry Lohman,A14JNXTB39ZPCT,-81.7020071,41.3914901,2803,DELLWOOD DR,,PARMA,,OH,44134,,d85ae4941f002674,OHIO,2928121380,True,Electrical Power Distribution Equipment Suppliers,,,,JerryLohman@gmail.com
Jimmy bones,AO278XLO6VNEV,-81.4668401,40.4934118,104,11TH ST NW,,NEW PHILADELPHIA,,OH,44663,,1fa4df65eb4d9a02,OHIO,8013202234,False,,False,False,49.0,Jimmybones@rediffmail.com
Adam Dominguez,A1JQX33UB6M8LJ,-83.2612072,41.6594407,308,NORTH ST,,CURTICE,,,43412,,,OHIO,1215956326,False,,False,False,30.0,AdamDominguez@outlook.com
Jeffery Smeal,A1GV7PDS302835,-84.3669573,39.2951189,6363,AMELIA DR,,,,,45241,,ad5dade931fd8e40,OHIO,1289434440,True,Electronic Test and Measurement Instrument Manufacturers,,,,JefferySmeal@hotmail.com
Jeremy Wai,AC6Z9GZDH9WP6,-83.7587891,41.7058938,8933,BIRCHFIELD RD,,,LUC,OH,43560,,2dd9218f1066939e,OHIO,4056814419,False,,False,True,39.0,JeremyWai@rediffmail.com
Faylawnda Truman,A3SFOHWNV9UYXP,-83.2176968,38.6377905,,US 52,,,,,,,2f3ae9a732d3e55f,OHIO,8131698330,False,,False,True,52.0,FaylawndaTruman@rediffmail.com
Corey Murillo,AZB1I5QCRL7C2,-81.4317745,40.6357484,1055,KERNS DR NE,,BOLIVAR,,OH,44612,,d6ba60aad623e08a,OHIO,2414481330,False,,False,True,38.0,CoreyMurillo@rediffmail.com
Midnight Distortions,AGWFBOF3Y2FRX,-84.6458731,39.6387691,306,DONNA DR,,CAMDEN,PRE,OH,45311,,fda6d6e828c9ac45,OHIO,7489696614,False,,True,False,44.0,MidnightDistortions@gmail.com
Midnight Rider,A33R7IMQ57QAS0,-84.2844734,39.1151132,670,EAST LAKE LN,,,,,,,6e9dddc2208c32dc,OHIO,2614891740,False,,False,False,22.0,MidnightRider@outlook.com
Mark Vicente,AZGRJ8L4MLGTU,-84.4466584,39.1420193,3554,BURCH AV,,CINCINNATI,,OH,45208,,4b5ad60093135765,OHIO,9798992220,False,,False,False,49.0,MarkVicente@outlook.com
Brian Laws,AXTLBBDO4WQ1S,-82.0574993,39.8872965,3190,NOLAN RD,,,MUS,OH,43701,,e3a8a265a4b59c8d,OHIO,4713283234,False,,True,False,47.0,BrianLaws@hotmail.com
David Parkhill,AW5LXIDSLQ7DR,-80.8503788,40.3767137,131,BUCKEYE DR,,,JEF,OH,43910,,bc4d034d44a11806,OHIO,9353633937,False,,True,False,25.0,DavidParkhill@rediffmail.com
Jacob Budd,A3I32W4PS9KUPX,-83.2709801,38.8201336,6560,MOUNT UNGER RD,,,ADA,OH,45657,,bf0d20c1194bcc7e,OHIO,3679253283,False,,False,True,33.0,JacobBudd@rediffmail.com
Lunzer,A13O1ZNV4ZZJBT,-81.6495818,41.4617203,5719,HUSS AVE,,CLEVELAND,,OH,44105,,6ef94e64c4093084,OHIO,5163080326,False,,True,True,51.0,Lunzer@gmail.com
Edward Matty,A1RNU5USDFSAU8,-80.5302644,41.5049492,9001,S SIMONS RD,,,ATB,OH,44093,,910f95526e1572e4,OHIO,3964143614,False,,True,False,34.0,EdwardMatty@gmail.com
Ran Sack,A11OYU1YSKQ9NJ,-80.7480183,41.2416555,324,CLIFTON DR NE,,,TRU,OH,44484,,97559c7e46728d69,OHIO,2943140937,False,,False,False,52.0,RanSack@gmail.com
Roberto Alvarez,A36W97P7E2MKD4,-84.2266133,39.6771441,5042,LINDBERGH BLVD,,WEST CARROLLTON,,OH,45449,,37bcd9094d1eeff5,OHIO,1291910326,False,,False,False,40.0,RobertoAlvarez@gmail.com
ELLWIN,A14XKMF63ET6L3,-83.8878726,39.8028366,149,E LIMESTONE ST,,YELLOW SPRINGS,GRE,OH,45387,,24090e67dc1ff8d7,OHIO,9363394234,True,Industrial Automation Systems Providers,,,,ELLWIN@outlook.com
Naik,A1H62ABGE6PQ6N,-80.8005378,41.2554266,1924,SHERIDAN AVE NE,,WARREN,TRU,OH,44483,,7ab610c2950a3722,OHIO,7789278326,False,,False,False,45.0,Naik@rediffmail.com
Marsh Laird,A31VSRML73EM20,-82.517214,40.7524289,26,MAPLE PL,,MANSFIELD,RIC,OH,44907,,3fe5f6c5f27cd642,OHIO,1411095740,False,,False,False,65.0,MarshLaird@gmail.com
Cody Hash,A301QFSB29UTGC,-81.9456688,40.8235935,1913,CHRISTMAS RUN BLVD,,WOOSTER,WAY,OH,44691,,e341eea86059f63e,OHIO,9524887330,False,,False,True,45.0,CodyHash@outlook.com
Scott Lembcke,A2D4W9KLL3TMPL,-83.7334289,41.509661,512,CEDAR LN,,WATERVILLE,,,43566,,,OHIO,0542979330,False,,True,True,55.0,ScottLembcke@gmail.com
Diamond Dental,A39425U27DTWTI,-81.0820827,40.7593881,9832,STUMP RD,,,COL,OH,44657,,2b3f868af716aa32,OHIO,0518682740,False,,False,False,48.0,DiamondDental@rediffmail.com
Thinking Ape,A1O0OPB1HM2BMY,-83.0021752,40.0208681,2811,INDIANOLA AVE,,COLUMBUS,FRA,OH,43202,,a1fb19700b4a765c,OHIO,0409856220,False,,False,True,59.0,ThinkingApe@hotmail.com
Maurice VerBrugge,A32MY5KQFQY4I3,-84.1261105,39.8638601,7607,BERCHMAN DR,,HUBER HEIGHTS,,OH,45424,,02d3f71352f87801,OHIO,0858202440,False,,True,True,29.0,MauriceVerBrugge@rediffmail.com
Tony Acevedo,A2DBOQ8PEMPT92,-80.5614474,41.1596923,304,PRINCETON AVE,,HUBBARD,TRU,OH,44425,,9caf7c0eb0b98abb,OHIO,6299007436,False,,False,True,66.0,TonyAcevedo@outlook.com
Thiago Salgado,A2HG9YHLTXJG3B,-74.8704769,40.2023424,230,ZACHARY WAY,,20,,,,,3cfc37574597b933,PENNSYLVANIA,6756106582,False,,False,False,31.0,ThiagoSalgado@outlook.com
John Meyer,AK3PQZZ656VOD,-76.8515032,41.0124004,401,SHAKESPEARE AVE,,MILTON,,,,035-02-005-131,fcb0dda5bf1e6798,PENNSYLVANIA,7093733412,False,,False,False,34.0,JohnMeyer@hotmail.com
lloyd shephard,A224SHEP7KJI5T,-75.8711695,40.3003389,4472,PHEASANT RUN,,EXETER,,,,,d127a0dbc4884933,PENNSYLVANIA,9995646878,False,,False,False,42.0,lloydshephard@hotmail.com
Stefan Hayes,AHSF06670DDN8,-75.1662041,40.0007243,3023,N 22ND ST,,,,,19132,,317ece40b8844420,PENNSYLVANIA,3272154267,False,,False,False,48.0,StefanHayes@hotmail.com
Neil Schoenherr,A14PKQB4ACT4DO,-75.5071543,40.5794946,2723,GREEN ACRES DR,,ALLENTOWN,,,18103,,5cf5ba3738408679,PENNSYLVANIA,0874801445,False,,False,False,42.0,NeilSchoenherr@outlook.com
Thomas Keller,A2B2PPZ38PPKQK,-76.8617487,40.8086442,800,8TH ST,,SELINSGROVE,,,17870,,aeb4f33a3d3f66e9,PENNSYLVANIA,5472872484,False,,True,False,24.0,ThomasKeller@outlook.com
bird,A25SJOAI3Y7KAW,-76.7610877,40.2347428,1416,OLD RELIANCE RD,,,,,17057,,7ca501e972ff443c,PENNSYLVANIA,5213119878,False,,False,False,33.0,bird@gmail.com
Lombardi,A1ZBEO3KFSTFTC,-80.0553872,42.1372925,1311,E  8TH ST,,ERIE CITY,,,,15021001021600,560f5f287f0c5b51,PENNSYLVANIA,6477546717,False,,False,True,35.0,Lombardi@outlook.com
Donald Thompson,A2HLMK9TIRUPOZ,-76.2395917,39.9899876,904,VILLAGE RD,,WEST LAMPETER TOWNSHIP,,,,,7d54f39e1ee06bc5,PENNSYLVANIA,5539565484,False,,False,True,48.0,DonaldThompson@rediffmail.com
Marie Antoinette,A1ZVMTIRYZQDL4,-80.2984357,40.7331882,3303,43RD ST,,,,,,,88bab788e8c6eec1,PENNSYLVANIA,2671572215,False,,False,False,41.0,MarieAntoinette@outlook.com
Sam Perry,A1TUFIY569EEXK,-75.1891758,39.9387117,2721,MANTON ST,,,,,19146,,5af5d69e2933d942,PENNSYLVANIA,0001679582,False,,True,False,31.0,SamPerry@hotmail.com
Ian Bui,A8KVRITFC63G8,-75.7294735,41.3802707,705,SIBLEY AVE,,OLD FORGE BOROUGH,LACKAWANNA,PA,18518,,16f4150bd1dce4f5,PENNSYLVANIA,3678879717,False,,True,True,37.0,IanBui@outlook.com
kirk bowyer,A3ULWZVXTX3PTR,-75.1534855,39.9610058,920,NECTARINE ST,,,,,19123,,29f63d2906d22778,PENNSYLVANIA,8532137570,True,Printed Circuit Board (PCB) Manufacturers,,,,kirkbowyer@hotmail.com
Pete Bumgarner,AF2RRIB9AEX6O,-79.8245985,40.4366501,3455,RIDGEWOOD DR,,,ALLEGHENY,PA,15235,,23b55e9b2c86f8a2,PENNSYLVANIA,3112438717,False,,True,True,50.0,PeteBumgarner@gmail.com
Linda Roth,A2VILK8KDF5DJL,-74.9559743,40.1837437,67,WOOD STREAM DR,,31,,,,,a82cc42757a97752,PENNSYLVANIA,7592794582,False,,False,False,33.0,LindaRoth@outlook.com
Melissa Ginnard,AFEDSG4S8CZIZ,-76.7020148,39.958879,749,S ALBEMARLE ST,,,,,17403,,651249df929209ee,PENNSYLVANIA,3632882215,False,,False,True,27.0,MelissaGinnard@rediffmail.com
Andrew Stephens,A11L7RI2S5GAG6,-76.2395167,40.1507747,2178,MAIN ST,,WARWICK TOWNSHIP,,,,,f1d79865fd9c2b0f,PENNSYLVANIA,7631711412,False,,True,False,30.0,AndrewStephens@hotmail.com
mike hammer,A3P4S2XYTZ880I,-75.380477,40.7290316,3370,WESTMINSTER WAY,,,,,,,e113fc1f2c581dfe,PENNSYLVANIA,7614883223,False,,True,False,35.0,mikehammer@outlook.com
michael pavon,A19MCPVYXKTUZW,-75.4844104,41.5980768,0,,,FELL TOWNSHIP,LACKAWANNA,PA,18407,,f84eb2c75e1962e8,PENNSYLVANIA,0896693570,False,,False,True,39.0,michaelpavon@gmail.com
gannaway,A136LVN6WN9Z0I,-80.0718235,40.4458803,114,SCHLEY AVE,,,ALLEGHENY,PA,15205,,73b703019d3a1fb8,PENNSYLVANIA,0395178484,False,,False,False,34.0,gannaway@gmail.com
Charlotte Crowder,A1CBUQUDMZ0EH8,-78.369145,40.5278693,914,914 OVERLOOK PL APT F PL,,LOGAN TWP,,,,,71c78d2222f4b3b2,PENNSYLVANIA,2821516223,False,,True,True,41.0,CharlotteCrowder@gmail.com
yodeling harry,A1ZBY1HZN2280V,-76.2887327,40.2083833,425,REIFSNYDER RD,,ELIZABETH TOWNSHIP,,,,,e32b7e60eac2211f,PENNSYLVANIA,5912977814,True,Printed Circuit Board (PCB) Manufacturers,,,,yodelingharry@outlook.com
Mcewan,A3OEBSYQJJ20QI,-75.1036055,40.1958558,519,SIXTH AVE,,49,,,,,0e5a39dfad680e7d,PENNSYLVANIA,3292329610,False,,False,True,38.0,Mcewan@gmail.com
gram parsons,A7IJ88ZGGSI8B,-75.4119788,41.5356836,20,MONEY PIT LN,,SOUTH CANAAN TOWNSHIP,,,18472,,17e591f49375003d,PENNSYLVANIA,9352449835,False,,False,False,32.0,gramparsons@outlook.com
Delores Sheppard,A3SN65YBA5MN8A,-80.0971435,40.325865,2485,MORTON RD,,,ALLEGHENY,PA,15241,,ea5fe7abcbdba7a5,PENNSYLVANIA,3491193582,False,,False,False,38.0,DeloresSheppard@gmail.com
Jedfrey Jaramillo,A1T2ACDS8TIGBN,-75.159633,40.5185091,,OLD SCHOOL HOUSE WAY,,30,,,,,94aafad7fa5e47f9,PENNSYLVANIA,4202308610,False,,False,True,48.0,JedfreyJaramillo@hotmail.com
Black hat.,AN86UCB541479,-75.2323762,40.0381977,276,PARKER AVE,,,,,19128,,0536bf38942136d4,PENNSYLVANIA,9714237267,False,,False,True,52.0,Blackhat.@hotmail.com
Glenn Hendricks,ABW554JXEMB4H,-76.6578195,40.2422892,172,BITTERSWEET DR,,,,,17033,,4728819d61a610fd,PENNSYLVANIA,3720794724,False,,True,True,34.0,GlennHendricks@gmail.com
Michael Ames,A2NZ2S8RTD7WGT,-75.5811448,41.3352672,160,MAPLE LAKE RD,,SPRINGBROOK TOWNSHIP,LACKAWANNA,PA,18444,,39b38bf833a0e7a9,PENNSYLVANIA,4296268484,True,Printed Circuit Board (PCB) Manufacturers,,,,MichaelAmes@outlook.com
Suppe,A8H7IAFIQ7GT6,-75.4807378,40.5966232,1210,W UNION ST,,ALLENTOWN,,,18102,,12be27262e78d7a1,PENNSYLVANIA,9430367582,False,,False,False,23.0,Suppe@gmail.com
Artak Hambarian,AP07OD0NWHB2A,-74.9291541,40.2265634,451,E PENN ST,,28,,,,,8c3753263e74b60d,PENNSYLVANIA,1491592835,False,,True,False,37.0,ArtakHambarian@hotmail.com
Jesus Policarpo,A13KVJRGL0PCGO,-78.226702,40.8905408,503,WALTON ST,,,,,,,b9507c1d00d3f61b,PENNSYLVANIA,9434842814,False,,False,True,44.0,JesusPolicarpo@rediffmail.com
Coronet Blue,A15G70V9OBTOVO,-77.1156332,40.0074431,301,SECOND ST,,YORK SPRINGS BORO,,,,,c187aa199f5d3c60,PENNSYLVANIA,4303518570,False,,False,False,27.0,CoronetBlue@outlook.com
