overall,vote,verified,reviewTime,asin,style,reviewText,summary,unixReviewTime,image,EMAIL
3.0,,True,"04 22, 2015",B00022OBO2,{'Size:': ' 6.5 in'},"Honestly, not terrible and not great ether. I have better speakers in the front, but my rear speakers went out. Grabbed these because cheap, well better than nothing. To do over I would definitely spend more to get a better quality sound.",Better than the blown speakers.,1429660800,,KrisKidwell@rediffmail.com
4.0,,True,"04 22, 2015",B0015A8Q7S,{'Package Type:': ' Standard Packaging'},"Wasn't an exact fit for my 2008 silverado, but it worked just fine with a bit of a nudge.",but it worked just fine with a bit of a nudge,1429660800,,KrisKidwell@rediffmail.com
4.0,,True,"04 22, 2015",B0015A8Q7S,{'Package Type:': ' Standard Packaging'},"Wasn't an exact fit for my 2008 silverado, but it worked just fine with a bit of a nudge.",but it worked just fine with a bit of a nudge,1429660800,,KrisKidwell@rediffmail.com
5.0,3,True,"04 28, 2016",B000233ZMU,,"I'am glad I bought this. I needed this for my new Gigabyte R9 390 because I did not like how hot my card was getting when I was gaming. When I played Black Ops 3 my card was getting really hot up to 92c, that did not make me comfortable at all. So I was looking for VGA coolers to cool down my card, I did not want to do a water cooler because I love the blue LED windforce logo on my card, one of the reason why I went with gigabyte, it matches my blue theme but anyways this fits the bill nicely. It lights up blue lights so thats a plus, and you can adjust the fan speed but I just leave mine at medium settings because high is really loud. The lowest is not that quite its still louder than my other fans in my case but I have fan controllers for those too that make them dead silent. This my R9 390 go from 92c down to 72c which is just fantastic, but I also zip tied 120mm fan on the hard drive cage to blow air onto the card directly but this works though. I put it into a PCI-e slot near to my R9 390, so it indeed does helps you cool your card. Now my graphics card fans do not run loud at all anymore, and the temps are great. I think this is a good investment if you have a high end card and want to extend its life and the fans life on it.",Excellent VGA cooler,1461801600,,AnthonyBenallie@outlook.com
5.0,,True,"10 9, 2010",B00025742A,,Solid preamp at a good price. Metal construction and small profile make it easy to set up behind my amplifier.,Solid pre at a good price,1286582400,,ChristopherGates@rediffmail.com
5.0,,False,"08 8, 2014",B0002SKHIK,{'Format:': ' Electronics'},Will never own any other carry-on again! BOMB-PROOF.,Five Stars,1407456000,,NickMankey@rediffmail.com
4.0,,True,"04 13, 2016",B00063E2HS,,"I like the look of these boxes and I LOVE them as a place to store CDs. They're not as sturdy as I would wish. I think they'd be fine if I were using them for something I didn't need to access often, but I'm a Luddite who still listens to CDs regularly. The buttons that snap the boxes into shape unsnap much too easily if you're opening/moving the boxes, I ended up using Gorilla Glue to hold them in place. Still, they do a great job of allowing me to store hundreds of CDs into the space of two storage cubes.","Very useful and nice looking boxes, but more flimsy than I expected.",1460505600,,Myra@outlook.com
5.0,,True,"10 15, 2014",B0006BB9MG,"{'Size:': ' 8 x 1/2-Inch, 100 Count', 'Color:': ' Black', 'Style:': ' 100 ct. - One Wrap Thin'}","These are so handy, I've already gone through one roll",Great for use around the home!!!,1413331200,,QuakertownDad@gmail.com
5.0,,True,"07 21, 2016",B004I2F49I,{'Size:': ' 6 Pack'},Great price on these P-Touch Labels,Great price on these P-Touch Labels,1469059200,,QuakertownDad@gmail.com
5.0,,True,"07 21, 2016",B004SU1WPU,,"A Great deal, just as advertised.",A great deal - just as advertised.,1469059200,,QuakertownDad@gmail.com
5.0,,True,"09 13, 2011",B0006BB9MG,"{'Size:': ' 8 x 1/2-Inch, 100 Count', 'Color:': ' Black', 'Style:': ' 100 ct. - One Wrap Thin'}","As advertized; work great for taming computer cables/wires, of which I have lots.
Only negative might be, as others have noted, the loops/hooks aren't that big; that might be good/bad depending on your intended use.  I expect they wont' be terribly strong, but that works fine for me.

Much better than trying to use zip-ties if you don't want/need the strength of the plastic ties.",Great for purpose,1315872000,,Owner@outlook.com
5.0,,True,"08 15, 2015",B0007DBBJY,"{'Size:': ' 18 Gauge', 'Package Type:': ' Standard Packaging', 'Style:': ' 100 Feet'}",good speaker wire.,Five Stars,1439596800,,LeonEggleston@rediffmail.com
5.0,,True,"08 15, 2015",B0013CC3O0,,Lets me have music everywhere I want it.,Five Stars,1439596800,,LeonEggleston@rediffmail.com
5.0,,True,"08 15, 2015",B0013CC3O0,,Lets me have music everywhere I want it.,Five Stars,1439596800,,LeonEggleston@rediffmail.com
4.0,,True,"02 25, 2015",B0007Q9PWQ,{'Size:': ' NP-F550 Battery'},as expected,Four Stars,1424822400,,annerice@hotmail.com
4.0,,True,"02 25, 2015",B000LIFB7S,,works well,Four Stars,1424822400,,annerice@hotmail.com
5.0,,False,"11 28, 2009",B0007XXU3E,,"The D-Link works just fine, save money and give the one a try, connects to your existing router with ease. Great product.",Gtreat range,1259366400,,RobertRios@rediffmail.com
5.0,,True,"01 31, 2014",B000E8SWQM,{'Style:': ' With Stand'},Exactly as described. Easily holds my 100 foot extension cord. I modified it by drilling a hole near the center and feeding the male end thru it to make it easier to plug in without removing the entire cord if it is not needed.,Works Great,1391126400,,DonMoore@outlook.com
4.0,7,True,"08 25, 2008",B000ES6KPM,,"I bought this for a trip to Europe. I really only needed one (VS 3) of the plugs (EU plug). The individual plugs feel a little fragile.

You may want to consider just buying the individual plug you need vs a big kit.  I would also recommend bringing two plug adaptors on the trip with you. If you are charging camera batteries, cell phones, ipods, etc. Then you will most likely want to charge two at the same time.

Because this is only an adaptor make sure your electronic deivices are capable of coverting the 240V.  OTher wise you need a power converter instead.",Worked.,1219622400,,Ski@rediffmail.com
5.0,3,True,"06 26, 2011",B000I1X3W8,{'Style:': ' Lens Only'},"I own both Canon and Nikon and have no axe to grind about either.  Nor am I a fan--someone who believes that because a Canon lens is an L lens, that automatically makes it great.  Having said that, this lens is super sharp and contrasty even wide open and just ridiculously good one stop down.  The reason I wrote thank you, Canon, is because they managed to do this in a lens that weighs less than 4 pounds.  And that's one reason I have both Nikon and Canon.  They both make some great lenses and they both make some dogs.  But right now, this is the only super sharp 70-200 that doesn't weigh a ton.  If I had to nitpick, I could do without the white color.  I remember when they started doing this, the fluorite elements and so on but I'd be willing to bet this lens would work just as well in black.","Superb - thank you, Canon",1309046400,,CoronetBlue@outlook.com
3.0,6,True,"07 9, 2013",B0070O9ROY,{'Package Type:': ' Standard Packaging'},"I bought these to replace the ancient door speakers in my 1997 Prelude.  As soon as you unpack these Kenwoods you can tell that with their shallow depth and small magnets they won't have any bass, so they're not for rear shelves or anyplace where there is room.  But for the doors in a small car they are just about the only game in town.  They sound fine, assuming you have bigger speakers in the rear or, even better a sub-woofer.  One thing missing from the non-existent instruction manual; these speakers have extra mounting tabs that extend past the 6.5 inch circumference.  Unless you have additional space surrounding your speakers, you'll need to bend these tabs up and out of the way.  Not a big deal but it would have been nice if they told you this.","Decent, cheap and best of all, they fit",1373328000,,CoronetBlue@outlook.com
5.0,316,True,"03 26, 2012",B007FGYZFI,"{'Configuration:': ' Base', 'Style:': ' 24-105mm'}","Some quick observations on the 5D3.  Before I go further I should explain I'll be comparing vs. the 5D2 and second, if you need to know about video, I can't be of any help there.

Received camera body from Amazon on 3/23.  Lots of new features (5D2 manual is 259 pages; 5D3 manual is 403 pages).  For the work I do, I was looking for two improvements over the 5D2:  Ability to bracket more than 3 shots and much lower noise.  The first wish was granted.  As you probably know, the 5D3 does 7 exposures.  Nikons do 9, but 7 is almost always enough.  Those who need more will probably have a Promote remote anyway.  Noise?  Well, the 5D3 images are cleaner but I wouldn't say dramatically so.  With the default noise settings and long exp NR set on, I'd say it's 1 to 1.5 stops better than the 5D2.  Now, with a little Noiseware or other NR, you can get very clean images at 12800 with very little loss of detail so I don't consider this a problem.  I guess it was unrealistic to expect the 5D3 to match the very low noise of my D700 but it would have been nice.

It's true that nearly every feature on the 5D3 is an upgrade over the 5D2.  Not all of these will result in better images but it's fair to say that the entire ""feel"" of the 5D3, the layout, viewfinder, displays are all nicer than the 5D2.  The two things that may be game changers, IMO, are the shutter and the AF.  If you haven't heard and felt the shutter on the 5D3, you're in for a treat.  It isn't just quieter; there is much less kick from the mirror.  Add the ""silent"" mode and, wow.  I would not be surprised to see signs in the future that say ""Please set your camera to silent mode"".  As for AF, I never had a problem with the AF on the 5D2 so I'm less impressed here.  But if you shoot moving subjects, the 5D3 has it all--predictive, wrap around, sequential, selective.  The manual devotes 45 pages to setting autofocus.

A small thing that I've been waiting for, a dual axis electronic level is wonderful.  For some time, digital SLRs have had an ""artificial horizon"" that tells you if you are tilting the camera to the left or right.  That's nice but in almost all imaging software, rotating an image takes just a second.  What these left/right levelers don't tell you is if you are tipping the camera up or down which can be a real pain with a super wide lens.  Well, problem solved with the 5D3.

The in-camera HDR is a mixed bag.  Output is jpeg only and even at that, it takes awhile for the 5D3 to register the images.  (This could be my cards which are Lexar UDMA 400x & Sandisk Extreme IV).  Anyhow, it's a fun feature.  This brings me to yet another interesting feature.  Since the 5D3 has two cards (CF + SD) you can record different file types to each card.  In other words, you could have a RAW-only card and a JPEG-only card.  I haven't tried this but I presume this would mean that you could shoot everything RAW except in-camera HDRs which, being jpegs, would end up on the other card.  I get requests for jpegs so now I can put them on one card while keeping an all-RAW card for myself.  You can also have redundant cards for backup, sequential for extra capacity, etc.  As with the autofocus options, the possibilities are endless!

So, to summarize.  Pros: Better AF, 100% viewfinder with electronic grid (no more screens), better LCD, faster drive and processor, fabulous shutter/mirror, 7-stop bracketing, 2-axis level, somewhat lower noise and thus somewhat cleaner images vs. 5D2, two card slots, uses same batteries as 5D2.  Cons:  Still no built-in flash (yes, it's very handy), in-camera HDR so-so, mode knob still feels flimsy (and it locks now, so be careful). All in all, this is a very nice, refined camera and anybody trading up from a 5D2 will be happy.  And if you do get a 5D3, the person getting your 5D2 will be happy as well.

Just a footnote.  One thing that comes through loud and clear from these reviews is how very different people's needs are and how differently they use a camera.  I can only explain how a product meets or fails to meet my needs.  I would not dream of saying you do/don't need this feature or ""read and decide"" as if I was some sort of oracle.  You know what is or is not important to you and how much you're willing to pay for it.  The web has made everybody a professional and an expert but when it's your money, the only expert is you.",4.8 stars,1332720000,,CoronetBlue@outlook.com
4.0,,False,"04 4, 2015",B000N8DJB6,{'Capacity:': ' 32 GB'},"I downloaded music, photos and movies into this flash drive and installed them into a different computer and it seems to be working fine. I noticed that some of the other reviewers had some issues with it, but I can't say the same (so far).  I have to say that I am not into technology that much (although sometimes I wish I was), and I don't use this flash drive for anything sophisticated, just for basic usage of storing data.",SO FAR IT WORKS FINE,1428105600,,MarieAntoinette@outlook.com
5.0,,True,"09 11, 2014",B000R9AAJA,,"Connected it, very good quality sound for the money, very happy, would recommend!!! :)",very good quality sound for the money,1410393600,,JedfreyJaramillo@hotmail.com
5.0,,True,"10 4, 2014",B000VM60I8,{'Style:': ' PC'},"I loved this! The quality is great, and I don't even have to have my tv on to record! However, I do not use the software that comes with it. I use VirtualDub to record and to play, then I just render it with Camtasia Studio, but the quality is still pretty good, but it depends on your pc and software",Great for recording games or just playing them full screen,1412380800,,JesusPolicarpo@rediffmail.com
5.0,,True,"10 4, 2014",B000VM60I8,{'Style:': ' PC'},"I loved this! The quality is great, and I don't even have to have my tv on to record! However, I do not use the software that comes with it. I use VirtualDub to record and to play, then I just render it with Camtasia Studio, but the quality is still pretty good, but it depends on your pc and software",Great for recording games or just playing them full screen,1412380800,,JesusPolicarpo@rediffmail.com
4.0,,True,"03 14, 2015",B000W9DJ1Q,,A little bulky and heavy but worked just fine on a recent trip to Italy.  Ran my CPAP with no trouble at all.,Nice transformer for Euro use.,1426291200,,GlennHendricks@gmail.com
4.0,,True,"03 14, 2015",B000W9DJ1Q,,A little bulky and heavy but worked just fine on a recent trip to Italy.  Ran my CPAP with no trouble at all.,Nice transformer for Euro use.,1426291200,,GlennHendricks@gmail.com
4.0,,True,"10 9, 2015",B000YTRUP0,{'Size:': ' 1-Pack'},what was needed and wanted,Four Stars,1444348800,,Lombardi@outlook.com
4.0,,True,"10 9, 2015",B000YTRUP0,{'Size:': ' 1-Pack'},what was needed and wanted,Four Stars,1444348800,,Lombardi@outlook.com
3.0,,False,"05 9, 2010",B00125KR1E,{'Style:': ' Wireless'},"Couldn't configure the camera at first. Nothing showed up in the Config GUI. Contacted Trendnet support, and after a few email exchanges I was told to send unit back. Got a new one, which came up right away. Apparently the one I had was defective somehow.

Everything went fairly smooth after that. But there's no instructions on how to configure the camera for remote monitoring, which is what we bought it for. Perhaps I'm missing something in the User's Guide, but I still can't find that info. Any help would be much appreciated. What I want to do is be able to monitor the house from our iPhones.

The camera itself is not bad. Picture quality is reasonable. The power cord (black!) is too short though, so hanging camera from ceiling can be aesthetically unpleasing.

Update: After logging out of the webcam, when I logged back in I could no longer see the Live View. Tried rebooting the camera from the GUI, tried unplugging power. Nothing has worked so far. Not sure what the problem is. What a frustrating purchase...","Flaky product, horrible instructions",1273363200,,IanBui@outlook.com
3.0,,False,"05 9, 2010",B00125KR1E,{'Style:': ' Wireless'},"Couldn't configure the camera at first. Nothing showed up in the Config GUI. Contacted Trendnet support, and after a few email exchanges I was told to send unit back. Got a new one, which came up right away. Apparently the one I had was defective somehow.

Everything went fairly smooth after that. But there's no instructions on how to configure the camera for remote monitoring, which is what we bought it for. Perhaps I'm missing something in the User's Guide, but I still can't find that info. Any help would be much appreciated. What I want to do is be able to monitor the house from our iPhones.

The camera itself is not bad. Picture quality is reasonable. The power cord (black!) is too short though, so hanging camera from ceiling can be aesthetically unpleasing.

Update: After logging out of the webcam, when I logged back in I could no longer see the Live View. Tried rebooting the camera from the GUI, tried unplugging power. Nothing has worked so far. Not sure what the problem is. What a frustrating purchase...","Flaky product, horrible instructions",1273363200,,IanBui@outlook.com
3.0,,False,"12 2, 2013",B0012YXWWQ,,"Bought one of these a while back, maybe 4 to 6 months ago, and it started recently Blue Screening my computer because the HDD SATA port is now somewhat broken. The SATA cable no longer clicks into place and I'm contemplating a new drive because of this minor little issue that shouldn't require $70 to fix.

No, I didn't actually do the damage myself, because the SATA cable came right out one day whilst using my computer. I've been using my cable-fu to arrange it so it leans TOWARDS the drive and will probably be taping it in place with electrical tape so it doesn't continue to blue screen and return I/O errors.","Annoying, but works.",1385942400,,DonaldThompson@rediffmail.com
3.0,,False,"12 2, 2013",B0012YXWWQ,,"Bought one of these a while back, maybe 4 to 6 months ago, and it started recently Blue Screening my computer because the HDD SATA port is now somewhat broken. The SATA cable no longer clicks into place and I'm contemplating a new drive because of this minor little issue that shouldn't require $70 to fix.

No, I didn't actually do the damage myself, because the SATA cable came right out one day whilst using my computer. I've been using my cable-fu to arrange it so it leans TOWARDS the drive and will probably be taping it in place with electrical tape so it doesn't continue to blue screen and return I/O errors.","Annoying, but works.",1385942400,,DonaldThompson@rediffmail.com
3.0,,True,"12 20, 2015",B0015A6YN6,,"It serves its purpose but it's not the best option. As long and the road is smooth (like most highways) it stays in place and holds the Garmin just fine, but on bumpy roads or roads with lots of curves it moves and doesn't hold on to the vent well.",It serves its purpose but it's not the best option. As long and the road is smooth ...,1450569600,,NeilSchoenherr@outlook.com
3.0,,True,"12 20, 2015",B0015A6YN6,,"It serves its purpose but it's not the best option. As long and the road is smooth (like most highways) it stays in place and holds the Garmin just fine, but on bumpy roads or roads with lots of curves it moves and doesn't hold on to the vent well.",It serves its purpose but it's not the best option. As long and the road is smooth ...,1450569600,,NeilSchoenherr@outlook.com
5.0,,True,"01 11, 2016",B0019X20R8,{'Colorj:': ' White'},I am pleased with the item.,Five Stars,1452470400,,PeteBumgarner@gmail.com
5.0,,True,"01 11, 2016",B003G2Z1M6,{'Model:': ' N300 Micro'},I am pleased with the item.,Five Stars,1452470400,,PeteBumgarner@gmail.com
5.0,,True,"01 16, 2017",B005LFT3QG,"{'Size:': ' 256GB', 'Package Type:': ' Standard Packaging'}",I am pleased with the card.,Five Stars,1484524800,,PeteBumgarner@gmail.com
5.0,,True,"07 15, 2010",B001CHCDB4,,product is very easy. it just plugs in and starts to work. just remember it must be plugged directly in the wall no multi-oulets or it will not work.,net gear works great,1279152000,,gannaway@gmail.com
5.0,,True,"09 26, 2014",B007NZGPAY,{'Capacity:': ' 25 Feet'},worked great,Five Stars,1411689600,,gannaway@gmail.com
4.0,,True,"12 17, 2012",B001CY0P7G,,No problems with it.  I bought it because it was manufactured by Intel.  I installed it and it works as advertised.,It works.,1355702400,,DeloresSheppard@gmail.com
5.0,,True,"05 15, 2017",B001FWYGJS,{'Format:': ' Personal Computers'},love it,Five Stars,1494806400,,lloydshephard@hotmail.com
5.0,,False,"05 15, 2017",B007NZGPAY,{'Size:': ' 35 Feet'},love it,Five Stars,1494806400,,lloydshephard@hotmail.com
5.0,,True,"04 22, 2017",B008ABOJKS,"{'Capacity:': ' AC3200', 'Model:': ' RT-AC3200'}",love it works great,Five Stars,1492819200,,lloydshephard@hotmail.com
5.0,,True,"08 17, 2012",B001GGAIIQ,,"Well speechless.
Great great product, by all means still great working product.
No disappointment at all for.shore,for real real real.
Thanks",Excellent,1345161600,,CharlotteCrowder@gmail.com
4.0,,True,"07 20, 2016",B001ID829O,{'Length:': ' 12 Feet'},"Good product, thanks.",Four Stars,1468972800,,LindaRoth@outlook.com
4.0,,True,"07 20, 2016",B004EHSV4W,,"Good product, thanks.",Four Stars,1468972800,,LindaRoth@outlook.com
5.0,,True,"04 15, 2015",B001ID829O,{'Length:': ' 6 Feet'},"The cables were perfect, high quality cables. Immediately, my DVD player was hooked up to my HDTV! Good company to buy from.",High Quality for good price!,1429056000,,Mcewan@gmail.com
5.0,,True,"10 11, 2009",B001IEZX3G,,"As the title states, excellent - if two week usage can matter.  I will return back if, if I change my opinion.",Excellent - if two week use results matter,1255219200,,ArtakHambarian@hotmail.com
5.0,,True,"04 24, 2013",B001LQSFKY,,"The best way to protect your vinyl powder, liquid and static. Plastic, perfect measure, indicated for audiophiles. Perfect, simply perfect.",The best,1366761600,,ThiagoSalgado@outlook.com
